trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
22510004000752,14:42:00,14:42:00,740012548,18,0,0
22510004000754,15:02:00,15:02:00,740012548,18,0,0
22510004000756,15:22:00,15:22:00,740012548,18,0,0
22510004000758,15:42:00,15:42:00,740012548,18,0,0
22510004000760,16:02:00,16:02:00,740012548,18,0,0
22510004000762,16:22:00,16:22:00,740012548,18,0,0
22510004000764,16:42:00,16:42:00,740012548,18,0,0
22510004000566,17:02:00,17:02:00,740012548,18,0,0
22510004000766,17:02:00,17:02:00,740012548,18,0,0
22510004000584,20:01:00,20:01:00,740012548,18,0,0
22510004000784,20:01:00,20:01:00,740012548,18,0,0
22510004000042,9:28:00,9:28:00,740012548,18,0,0
22510004000044,9:38:00,9:38:00,740012548,18,0,0
22510004000046,9:48:00,9:48:00,740012548,18,0,0
22510004000048,9:58:00,9:58:00,740012548,18,0,0
22510004000050,10:08:00,10:08:00,740012548,18,0,0
22510004000052,10:18:00,10:18:00,740012548,18,0,0
22510004000054,10:28:00,10:28:00,740012548,18,0,0
22510004000056,10:38:00,10:38:00,740012548,18,0,0
22510004000058,10:48:00,10:48:00,740012548,18,0,0
22510004000060,10:58:00,10:58:00,740012548,18,0,0
22510004000062,11:08:00,11:08:00,740012548,18,0,0
22510004000064,11:18:00,11:18:00,740012548,18,0,0
22510004000066,11:28:00,11:28:00,740012548,18,0,0
22510004000068,11:38:00,11:38:00,740012548,18,0,0
22510004000070,11:48:00,11:48:00,740012548,18,0,0
22510004000072,11:58:00,11:58:00,740012548,18,0,0
22510004000074,12:05:00,12:05:00,740012548,18,0,0
22510004000076,12:15:00,12:15:00,740012548,18,0,0
22510004000078,12:25:00,12:25:00,740012548,18,0,0
22510004000080,12:35:00,12:35:00,740012548,18,0,0
22510004000082,12:45:00,12:45:00,740012548,18,0,0
22510004000084,12:55:00,12:55:00,740012548,18,0,0
22510004000086,13:05:00,13:05:00,740012548,18,0,0
22510004000088,13:15:00,13:15:00,740012548,18,0,0
22510004000090,13:25:00,13:25:00,740012548,18,0,0
22510004000092,13:35:00,13:35:00,740012548,18,0,0
22510004000016,7:19:00,7:19:00,740012548,18,0,0
22510004000018,7:29:00,7:29:00,740012548,18,0,0
22510004000020,7:39:00,7:39:00,740012548,18,0,0
22510004000022,7:49:00,7:49:00,740012548,18,0,0
22510004000024,7:59:00,7:59:00,740012548,18,0,0
22510004000026,8:09:00,8:09:00,740012548,18,0,0
22510004000028,8:19:00,8:19:00,740012548,18,0,0
22510004000030,8:29:00,8:29:00,740012548,18,0,0
22510004000032,8:39:00,8:39:00,740012548,18,0,0
22510004000034,8:49:00,8:49:00,740012548,18,0,0
22510004000036,8:59:00,8:59:00,740012548,18,0,0
22510004000100,14:17:00,14:17:00,740012548,18,0,0
22510004000102,14:27:00,14:27:00,740012548,18,0,0
22510004000104,14:37:00,14:37:00,740012548,18,0,0
22510004000108,14:46:00,14:46:00,740012548,18,0,0
22510004000112,14:56:00,14:56:00,740012548,18,0,0
22510004000116,15:06:00,15:06:00,740012548,18,0,0
22510004000120,15:16:00,15:16:00,740012548,18,0,0
22510004000124,15:26:00,15:26:00,740012548,18,0,0
22510004000128,15:36:00,15:36:00,740012548,18,0,0
22510004000132,15:46:00,15:46:00,740012548,18,0,0
22510004000136,15:56:00,15:56:00,740012548,18,0,0
22510004000140,16:06:00,16:06:00,740012548,18,0,0
22510004000144,16:16:00,16:16:00,740012548,18,0,0
22510004000148,16:26:00,16:26:00,740012548,18,0,0
22510004000152,16:36:00,16:36:00,740012548,18,0,0
22510004000154,16:46:00,16:46:00,740012548,18,0,0
22510004000156,16:56:00,16:56:00,740012548,18,0,0
22510004000158,17:06:00,17:06:00,740012548,18,0,0
22510004000160,17:16:00,17:16:00,740012548,18,0,0
